upstream,downstream,from_slopes_m,from_heights_m
82287000101,82287000091,9.092062770620476,9.883600000000001
82287000091,82287000081,9.395864005107814,10.291100000000029
82287000081,82287000071,10.014880260844198,8.806699999999978
82287000071,82287000061,9.478556198057692,10.06639999999993
82287000061,82287000051,12.111882354116888,10.75705000000005
82287000051,82287000041,15.87453629795425,18.343050000000005
82287000041,82287000031,14.458463667865153,12.228549999999984
82285000531,82285000521,2.6199615244661563,2.6420999999999992
82285000521,82285000511,1.5614023356139914,0.6887000000000114
82285000511,82285000501,1.3191206180428543,1.7653999999999996
82285000481,82285000471,1.3080544211058471,1.4916499999999928
82285000471,82285000461,1.3307243363746166,1.2941500000000303
82285000461,82285000451,1.3114023110871948,1.2665999999999826
82285000451,82285000441,1.2543341978754188,1.122300000000024
