reach_id,dist_out_km,length_km,n_readings,median_wse_m,slope_cm_per_km,drop_m,drop_p10_m,drop_p90_m,design_flow_m3s,power_MW,power_p10_MW,power_p90_MW,width_m,depth_m,velocity_ms,velocity_low_ms,velocity_high_ms,froude,hydrokinetic_kW_per_m2,energy_GWh_per_yr,capacity_factor,open_water_share,years_used,energy_GWh_per_km,head_gradient_m_per_km,drop_spread,pass_gradient,pass_confidence,passes,shortlisted,rank,screen_note
82287000101,2988.432556,14.979868476,101,358.5268,69.023698,10.33965917767144,9.912794343566194,11.555657640943664,639.3300025939942,51.87884557306357,49.73706754841259,57.98007148478549,263.96756,2.019510316944564,1.1993017057894069,1.0314347752398831,1.4675917874054734,0.2694454843397938,0.8624925620415177,219.23847861018498,0.4824167405651012,0.8643421686474795,66,14.635540956947517,0.6902369799999998,0.15888950197945056,True,True,True,False,9.0,passes
82287000091,2973.452687,9.99826247,105,348.6432,78.458296,7.844466363569511,7.617431958333907,8.219971947009348,639.3300025939942,39.35931079406863,38.22017432480999,41.243395737329365,317.08221,1.7409291236329616,1.1581694860488307,0.9960598553023569,1.4172580743809489,0.2802509345755574,0.7767591179336403,166.33129211567126,0.48241674056510103,0.8643421686474797,66,16.636019769910206,0.7845829599999999,0.07681083208842572,True,True,True,False,8.0,passes
82287000081,2963.454425,9.991507601,106,338.35209999999995,109.565664,10.94726164664612,10.870436744871878,11.036149195631973,639.3300025939942,54.92746778740317,54.5420017728252,55.37345767430037,317.32574450000004,1.5742378527341168,1.2798215747330568,1.1006842330913353,1.5661243733379542,0.32567149511065124,1.048137563185426,232.12186660284425,0.48241674056510125,0.8643421686474797,66,23.231916130415826,1.09565664,0.015137342662387532,True,True,True,True,3.0,passes
82287000071,2953.462917,10.001184919,105,329.5454,90.814228,9.082498875042274,8.977901102521885,9.204722915885236,639.3300025939942,45.57109170226603,45.046276367966605,46.18434616561439,331.238428,1.6231000098667148,1.189156708621405,1.0227097789997588,1.455177301163072,0.298010760938671,0.8407894917038314,192.58209590148445,0.4824167405651012,0.8643421686474796,66,19.2559279186631,0.9081422799999999,0.024973503050645333,True,True,True,False,6.0,passes
82287000061,2943.461732,10.00192006,104,319.47900000000004,98.727179,9.874613521073108,9.761727990534803,10.021649167379792,639.3300025939942,49.54549672775645,48.97909788369426,50.28324247521327,322.875493,1.6073994308791835,1.231873727566018,1.059447672910327,1.5074503412854432,0.3102199933705657,0.9346921244685956,209.3778148798884,0.4824167405651012,0.8643421686474796,66,20.933762080066895,0.9872717900000001,0.026322162005662193,True,True,True,False,5.0,passes
82287000051,2933.459812,9.979516604,102,308.72195,143.7860345,14.349151187160668,14.224422158967508,14.481771957207174,639.3300025939942,71.9963188100846,71.37049566824594,72.66173846568421,268.679962,1.6033181137396935,1.484123726843857,1.2763900987014607,1.8161299883885207,0.3742189320202919,1.6344827033536613,304.2543300086908,0.48241674056510114,0.8643421686474796,66,30.487882537991794,1.4378603449999998,0.017934844708440832,True,True,True,True,2.0,passes
82287000041,2923.480296,10.001031093,99,290.3789,173.98127499999998,17.399921408747833,17.28014341979653,17.56334385738487,639.3300025939942,87.3034420416131,86.7024605503396,88.12340794477569,241.512111,1.6142164798291267,1.639926541409367,1.410385106169028,2.0067867097182837,0.4121060617418326,2.205175651936316,368.9417834805039,0.48241674056510114,0.8643421686474797,66,36.89037460734789,1.7398127499999998,0.016275960731981152,True,True,True,True,1.0,passes
82287000031,2913.479265,11.352589831,88,278.15035,101.4482695,11.517005926982474,11.244713072210624,11.7178315268518,639.3300025939942,57.78613798414776,56.41991897048209,58.79377277207555,329.84127850000004,1.5740534728151525,1.2314041092687715,1.0590437873488119,1.5068756669120746,0.313369232475256,0.9336235542128407,244.20252294474193,0.48241674056510125,0.8643421686474796,66,21.510732491885616,1.014482695,0.04107998707656615,True,True,True,False,4.0,passes
82287000011,2884.514003,18.133832628,73,247.4399,83.43487599999999,15.12994076721934,11.417290306768548,15.38147965679282,639.3300025939942,75.91390074899367,57.28581866284248,77.1759875338253,410.793323,1.463179355488008,1.0636632260438805,0.9147816893692851,1.301610268351708,0.2807507069560857,0.6017033623210108,320.8099162911101,0.4824167405651011,0.8643421686474795,66,17.69123620319267,0.8343487599999999,0.26200957498876126,True,True,True,False,7.0,passes
82285000531,2866.380171,9.510473912,53,238.6998,35.840922,3.4086415366302685,2.825431315553127,3.704246524244853,790.0,21.13330483578473,17.517448121924144,22.96603211059615,612.09176,1.6850523958100962,0.7659442295946336,0.6587345873724217,0.9372899709367073,0.1883891732387002,0.22467846614373502,94.38103912995076,0.5098157296551462,0.826016993443978,66,9.923904949769527,0.35840922,0.2578197793014366,False,True,False,False,,too flat
