role,reach_id,n_matched,n_all,dist_out_km,loo_median_err_pct,loo_nse,q30_gauge_same_dates,q30_swot_same_dates,q30_diff_pct,q30_swot_all_dates,backwater_r
upstream section,82287000011,55,73,2884.514003,22.29893394707755,0.3724307174114341,731.2,650.0010324139367,-11.104891628290932,683.1972853173743,0.31315502083383967
upstream section,82287000031,71,88,2913.479265,12.14242303664821,0.7795180919183105,716.6399993896484,640.9793663743778,-10.557690483326306,695.1975857325951,0.21623465222927085
upstream section,82287000041,79,99,2923.480296,8.392125855865498,0.7711284437771848,713.0,670.1366273646463,-6.0116932167396495,748.3786270164077,0.0902648981738116
upstream section,82287000051,80,102,2933.459812,6.697691950658885,0.919439849930648,703.7600002288818,678.7226963179041,-3.557648048032694,794.4374489579321,-0.12752400387499063
upstream section,82287000061,81,104,2943.461732,6.786572043023079,0.9092197430825489,694.5200004577637,675.5051062617125,-2.73784688468558,791.3344581334354,-0.13402262020654956
upstream section,82287000071,81,105,2953.462917,7.450055253329651,0.901392353802117,694.5200004577637,680.7064627491392,-1.9889330328168924,800.8837119599372,-0.07766667652813279
upstream section,82287000081,82,106,2963.454425,9.334334497614389,0.8781683083230661,685.2800006866455,698.593362884951,1.9427624014951022,804.0320259092694,-0.11784561523801527
upstream section,82287000091,81,105,2973.452687,6.6626585789741455,0.8957900272654689,694.5200004577637,680.8981705875412,-1.961330107303486,824.6212828681079,-0.035203834869248135
upstream section,82287000101,79,101,2988.432556,8.926041559293985,0.8282162785171648,682.2000007629395,705.5217783894141,3.418612958134369,776.0244552653708,0.13509950827288397
