reach_id,dist_out_km,length_km,n_readings,median_wse_m,slope_cm_per_km,drop_m,drop_p10_m,drop_p90_m,design_flow_m3s,power_MW,power_p10_MW,power_p90_MW
82287000101,2988.4325559999997,14.979868476,101,358.5268,69.023698,10.339659177671441,9.912794343566194,11.555657640943664,639.3300025939942,51.87884557306357,49.73706754841259,57.98007148478549
82287000091,2973.452687,9.99826247,105,348.6432,78.458296,7.844466363569511,7.617431958333907,8.219971947009348,639.3300025939942,39.35931079406863,38.22017432480999,41.243395737329365
82287000081,2963.454425,9.991507600999999,106,338.35209999999995,109.565664,10.947261646646119,10.870436744871878,11.036149195631971,639.3300025939942,54.92746778740317,54.542001772825195,55.37345767430037
82287000071,2953.462917,10.001184919,105,329.5454,90.814228,9.082498875042274,8.977901102521885,9.204722915885236,639.3300025939942,45.57109170226603,45.046276367966605,46.184346165614386
82287000061,2943.4617319999998,10.00192006,104,319.47900000000004,98.72717899999999,9.874613521073108,9.761727990534803,10.021649167379792,639.3300025939942,49.54549672775645,48.97909788369426,50.28324247521327
82287000051,2933.459812,9.979516604,102,308.72195,143.7860345,14.349151187160668,14.224422158967508,14.481771957207174,639.3300025939942,71.9963188100846,71.37049566824594,72.66173846568421
82287000041,2923.480296,10.001031093,99,290.3789,173.98127499999998,17.399921408747833,17.28014341979653,17.56334385738487,639.3300025939942,87.3034420416131,86.7024605503396,88.12340794477569
82287000031,2913.479265,11.352589831,88,278.15035,101.4482695,11.517005926982474,11.244713072210624,11.7178315268518,639.3300025939942,57.786137984147764,56.41991897048209,58.79377277207555
82287000011,2884.5140030000002,18.133832628,73,247.4399,83.43487599999999,15.12994076721934,11.417290306768548,15.38147965679282,639.3300025939942,75.91390074899367,57.28581866284248,77.1759875338253
82285000531,2866.3801710000002,9.510473912,53,238.6998,35.840922,3.4086415366302685,2.825431315553127,3.704246524244853,790.0,21.133304835784735,17.517448121924144,22.96603211059615
82285000521,2856.869697,9.480063077,31,236.0577,19.317187,1.831281512302044,0.7570668404560508,2.3516556362881436,790.0,11.35379887375169,4.693753845480278,14.580076812535587
82285000511,2847.389634,9.49953716,38,235.369,13.595643,1.2915231589259388,0.045830308038602496,2.929571726311417,790.0,8.007340263488107,0.2841442434146924,18.16311033739268
82285000501,2837.890096,10.26506624,51,233.6036,13.119429000000002,1.3467180771597698,1.0307247450193409,1.7954732064059649,790.0,8.349544340944401,6.390410961140312,11.131790241860472
82285000481,2817.221389,10.399208856,50,230.90980000000002,12.675311,1.318132064037542,1.1824031811279851,1.40958285230613,790.0,8.172313346467638,7.3308051307390185,8.739300917669823
82285000471,2806.82218,10.389359650000001,46,229.41815000000003,12.493328,1.2979767781741522,1.1530097833402455,1.4385121916493508,790.0,8.04735218653749,7.148568415926855,8.918660507250642
82285000461,2796.43282,10.406817996,46,228.124,13.1017175,1.3634718945750812,1.2414145930953757,1.4933702651079632,790.0,8.453416668613938,7.696671164023883,9.258776174048164
82285000451,2786.026002,10.398093264,49,226.8574,12.111189,1.2593327275993087,1.1618939217058468,1.3366267043230144,790.0,7.807762164497507,7.203649363062515,8.286978636666344
82285000441,2775.627909,10.387358233,51,225.7351,12.027463,1.2493356681515289,1.1064932881689353,1.3311405808004442,790.0,7.745781195686027,6.860169867184346,8.25296510971629
